"","Tm","Player","Age","Pos","Born","College","From","To","G","MP","PTS","TRB","AST","STL","BLK","FG%","2P%","3P%","FT%","WS","WS/48","Draft.Year","Pick.Number"
"1","NOH","Chris Paul\paulch01",20.058,"G","us","Wake Forest University",2006,2018,848,35.5,18.7,4.4,9.9,2.3,0.1,0.473,0.504,0.372,0.866,4.05050698377154,0.251,2005,4
"2","CLE","LeBron James\jamesle01",18.182,"F-G","us",NA,2004,2018,1091,38.9,27.2,7.3,7.1,1.6,0.8,0.503,0.545,0.344,0.74,5.73526115658573,0.24,2003,1
"3","IND","Kawhi Leonard\leonaka01",19.364,"F","us","San Diego State University",2012,2018,400,30.5,16.3,6.2,2.3,1.8,0.7,0.495,0.537,0.388,0.847,0.897389082357814,0.219,2011,15
"4","SEA","Kevin Durant\duranke01",18.276,"F-G","us","University of Texas at Austin",2008,2018,727,37.3,27.2,7.2,3.8,1.2,1.1,0.489,0.526,0.381,0.882,2.99019380711967,0.218,2007,2
"5","OKC","James Harden\hardeja01",19.308,"G","us","Arizona State University",2010,2018,643,33.7,22.5,5,5.9,1.5,0.4,0.443,0.5,0.366,0.854,2.20500562382645,0.217,2009,3
"6","SAS","Tim Duncan\duncati01",21.066,"F-C","vi","Wake Forest University",1998,2016,1392,34,19,10.8,3,0.7,2.2,0.506,0.509,0.179,0.696,5.55905750915379,0.209,1997,1
"7","ORL","Shaquille O'Neal\onealsh01",20.115,"C","us","Louisiana State University",1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,0.582,0.583,0.045,0.527,4.79550837028203,0.208,1992,1
"8","GSW","Stephen Curry\curryst01",21.108,"G","us","Davidson College",2010,2018,597,34.6,22.9,4.4,6.8,1.8,0.2,0.476,0.51,0.435,0.903,1.91751546222696,0.206,2009,7
"9","NOH","Anthony Davis\davisan02",19.114,"F-C","us","University of Kentucky",2013,2018,360,34.5,22.6,10.2,1.8,1.3,2.3,0.517,0.529,0.298,0.787,0.820106780852576,0.205,2012,1
"10","HOU","Yao Ming\mingya01",21.292,"C","cn",NA,2003,2011,486,32.5,19,9.2,1.6,0.4,1.9,0.524,0.525,0.2,0.833,1.2157921645594,0.2,2002,1
"11","DEN","Rudy Gobert\goberru01",21.006,"C","fr",NA,2014,2018,287,27.2,9.4,9.8,1.1,0.6,2.2,0.61,0.612,0,0.619,0.180209324389203,0.199,2013,27
"12","MIL","Dirk Nowitzki\nowitdi01",20.01,"F","de",NA,1999,2018,1424,34.7,21.5,7.8,2.5,0.8,0.9,0.473,0.496,0.382,0.879,5.45395357910666,0.197,1998,9
"13","BOS","Jayson Tatum\tatumja01",19.116,"F","us","Duke University",2018,2018,32,30.5,13.8,5.7,1.3,0.9,0.8,0.502,0.497,0.51,0.832,-0.700808912770514,0.194,2017,3
"14","MIA","Bam Adebayo\adebaba01",19.344,"C-F","us","University of Kentucky",2018,2018,20,17.6,6.3,4.2,0.6,0.7,0.6,0.613,0.613,NA,0.75,-0.781182506335962,0.184,2017,14
"15","MIN","Kevin Garnett\garneke01",19.044,"F-C","us",NA,1996,2016,1462,34.5,17.8,10,3.7,1.3,1.4,0.497,0.504,0.275,0.789,5.09536370012236,0.182,1995,5
"16","CHA","Brandan Wright\wrighbr03",19.271,"F-C","us","University of North Carolina",2008,2018,416,16.3,7,3.7,0.5,0.5,1,0.607,0.61,0,0.675,-0.0238159515846265,0.182,2007,8
"17","MEM","Kevin Love\loveke01",19.297,"F","us","University of California Los Angeles",2009,2018,605,32.4,18.4,11.4,2.4,0.7,0.5,0.444,0.479,0.366,0.822,1.47855198967721,0.182,2008,5
"18","CHI","Jimmy Butler\butleji01",21.287,"F-G","us","Marquette University",2012,2018,427,32.6,15.8,4.9,3.2,1.5,0.4,0.448,0.48,0.338,0.83,0.801559028491318,0.181,2011,30
"19","HOU","Clint Capela\capelca01",20.044,"C","ch",NA,2015,2018,181,20.9,9.7,7.5,0.8,0.6,1.3,0.628,0.629,0,0.459,-0.379314538508723,0.181,2014,25
"20","MIN","Karl-Anthony Towns\townska01",19.227,"C-F","us","University of Kentucky",2016,2018,194,34.7,21.6,11.4,2.3,0.7,1.5,0.54,0.572,0.364,0.825,-0.0392724118856741,0.181,2015,1
