account_length,number_vmail_messages,total_day_charge,total_eve_charge,total_night_charge,total_intl_charge,number_customer_service_calls,churn
128,25,45.07,16.78,11.01,2.7,1,0
107,26,27.47,16.62,11.45,3.7,1,0
137,0,41.38,10.3,7.32,3.29,0,0
84,0,50.9,5.26,8.86,1.78,2,0
75,0,28.34,12.61,8.41,2.73,3,0
118,0,37.98,18.75,9.18,1.7,0,0
121,24,37.09,29.62,9.57,2.03,3,0
147,0,26.69,8.76,9.53,1.92,0,0
117,0,31.37,29.89,9.71,2.35,1,0
141,37,43.96,18.87,14.69,3.02,0,0
65,0,21.95,19.42,9.4,3.43,4,1
74,0,31.91,13.89,8.82,2.46,0,0
168,0,21.9,8.92,6.35,3.02,1,0
95,0,26.62,21.05,8.65,3.32,3,0
62,0,20.52,26.11,9.14,3.54,4,0
161,0,56.59,27.01,7.23,1.46,4,1
85,27,33.39,23.88,4.02,3.73,1,0
93,0,32.42,18.55,5.83,2.19,3,0
76,33,32.25,18.09,7.46,2.7,1,0
73,0,38.15,13.56,8.68,3.51,1,0
147,0,26.37,20.37,9.4,2.86,0,0
77,0,10.61,14.44,9.43,1.54,5,1
130,0,31.11,6.2,8.18,2.57,0,0
111,0,18.77,11.67,8.53,2.08,2,0
132,0,13.79,20.84,10.67,2.78,0,0
174,0,21.13,23.55,11.28,4.19,3,0
57,39,36.21,16.24,8.22,2.57,0,0
54,0,22.83,13.22,4.59,3.97,3,0
20,0,32.3,21.95,8.17,1.7,0,0
49,0,20.28,18.28,8.04,3,1,0
142,0,14.42,11.62,11.27,3.83,2,0
75,0,38.44,17.13,11.08,2.78,1,0
172,0,36.04,2.65,13.2,3.4,3,0
12,0,42.43,21.45,12.61,3.19,1,1
57,25,30.06,16.58,9.61,2.24,0,0
72,37,37.4,18.47,6.88,3.97,3,0
36,30,24.87,13.81,5.82,3.92,0,0
78,0,22.24,19.01,10.25,2.7,1,0
136,33,34.66,15.95,4.58,2.84,3,0
149,0,23.87,23.1,8.47,3,1,0
98,0,21.47,14.18,8.45,2.54,3,0
135,41,29.43,17.33,5.5,3.94,0,1
34,0,21.22,23.99,14.02,2.7,2,0
160,0,14.59,14.05,8.03,2.48,3,0
64,0,26.18,19.19,11.94,0.95,1,0
59,28,20.55,18.11,7.34,2.3,2,0
65,0,35.92,13.82,6.06,3.56,3,0
142,0,31.79,11.44,10.9,2,2,0
119,0,27.05,19.66,6.44,2.38,5,1
97,24,22.64,18.46,3.18,2.97,1,0
52,0,32.62,22.93,10.66,2.11,3,0
60,0,37.5,17.94,11.21,1.84,1,0
10,0,31.64,16.17,12.73,3.08,2,0
96,0,27.23,22.74,10.28,2.51,2,0
87,0,25.67,18.67,9.18,2.62,5,1
81,0,29.84,21.19,12.16,2.75,1,0
141,0,21.57,15.3,6.34,2.16,1,0
121,30,33.73,6.4,8.15,1.57,3,1
68,0,25.3,20.95,5.84,3.27,3,0
125,0,38.98,15.08,8.52,3.24,1,0
174,0,32.66,14.44,7.5,3.08,1,0
116,34,45.66,15.15,7.48,3.13,2,0
74,33,32.93,20.92,6.21,3.94,2,0
149,28,30.72,15.96,11.95,3.4,3,0
38,0,22.3,13.85,7.15,2.21,2,0
40,41,25.18,14.41,9.63,1.67,2,0
43,0,42.76,18.09,7.1,2.51,0,0
113,0,21.28,17.54,5.82,2.24,0,0
126,0,35.97,18.44,6.91,2.11,1,0
150,0,30.41,14.37,6.69,3.73,4,1
138,0,41.11,14.49,13.29,3.19,3,0
